Key,Type,Desc,English,Chinese (PRC),Chinese (Traditional),Japanese
items/shot gun,Text,,Pick up the shotgun?,有一支霰弹枪，是否拾取？,有一支霰彈槍，是否拾取？,
items/pick shotgun,Text,,Get a shotgun,拾取了霰弹枪,拾取了霰彈槍,
items/shotgun ammo,Text,,Pick the shotgun ammo?,有一盒霰弹枪子弹，是否拾取？,有一盒霰彈槍子彈，是否拾取？,
items/pick shotgun ammo,Text,,Get the shotgun ammo,拾取了一盒霰弹枪子弹,拾取了一盒霰彈槍子彈,
items/blue book,Text,,Pick up the book?,有一本蓝色的书，是否拾取？,有一本藍色的書，是否拾取？,
items/pick blue book,Text,,Get a blue book,拾取了蓝色的书,拾取了藍色的書,
items/chip,Text,,Pick up the bag of chips?,有一包薯片，是否拾取？,有一包薯片，是否拾取？,
items/pick chips,Text,,Get a bag of chips,拾取了一包佛山薯片,拾取了一包佛山薯片,
items/spicy,Text,,Pick up the bag of chili?,有一包辣条，是否拾取？,有一包辣條，是否拾取？,
items/pick chili,Text,,Get a bag of chili,拾取了一包法国辣条,拾取了一包法國辣條,
item hint/phone,Text,,Brand new Pear phone! Great reception!,最新款雪梨手机，双卡双待，信号超强。,最新款雪梨手機，雙卡雙待，信號超強。,
item use/phone0,Text,," Kio
【（do.....do....）】"," Kio
【（嘟。。。。。。。嘟。。。。。。。。）】"," Kio
【（嘟。。。。。。。嘟。。。。。。。。）】",
item use/phone1,Text,," Kio
【Can't receive any signal!!】"," Kio
【完全没有信号！！】"," Kio
【完全沒有信號！！】",
item hint/blue book,Text,,Blue instruction,蓝色说明书。,藍色說明書。,
item hint/chili,Text,,French chili,法国辣条。,法國辣條。,
item use/chili0,Text,," Kio
【This is the LAST BAG I eat...】"," Kio
【我就吃最后一包。。。】"," Kio
【我就吃最後一包。。。】",
item use/chili1,Text,," Kio
【My mom said eating too much chili causes a stomachache.】"," Kio
【妈妈说吃太辣会拉肚子。。。。】"," Kio
【媽媽說吃太辣會拉肚子。。。。】",
item hint/chip,Text,,Foshan chips,佛山薯片。,佛山薯片。,
item use/chip0,Text,," Kio
【Ba da ba da...】"," Kio
【吧唧吧唧。。。】"," Kio
【吧唧吧唧。。。】",
item use/chip1,Text,," Kio
【It's perfect if I drink some coke at the same time!!】"," Kio
【配上可乐的话就完美了！！】"," Kio
【配上可樂的話就完美了！！】",
item hint/can,Text,,Guangzhou soda,广州汽水。,廣州汽水。,
item use/can0,Text,," Kio
【This can of stuff..】"," Kio
【这罐东西。。。】"," Kio
【這罐東西。。。】",
item use/can1,Text,," Kio
【Really delicious!!】"," Kio
【实在是太好喝了！！！】"," Kio
【實在是太好喝了！！！】",
item hint/ci ka,Text,,An ID card,一块磁卡。,一塊磁卡。,
item hint/curse map,Text,,A cursed map,被诅咒的地图。,被詛咒的地圖。,
item use/map0,Text,," Kio
【!!!!!!!!!!!!!!!!】"," Kio
【！！！！！！！！！！！！！！！！】"," Kio
【！！！！！！！！！！！！！！！！】",
item use/map1,Text,," Kio
【Scary!!!!】"," Kio
【吓死我了！！！！！！！！！！】"," Kio
【嚇死我了！！！！！！！！！！】",
item use/map2,Text,," Kio
【It seems that I can't keep looking at it too long..】"," Kio
【看来这个诅咒的地图不能盯太久。】"," Kio
【看來這個詛咒的地圖不能盯太久。】",
item hint/gear,Text,,A mysterious gear,一颗迷之小齿轮。,一顆迷之小齒輪。,
item hint/girl's head,Text,,Illusion's head,Illusion的头。,Illusion的頭。,
item hint/girl's heart,Text,,A girl's heart,一颗美少女的心脏。,一顆美少女的心臟。,
item hint/first aid pack,Text,,"Love yourself, heal yourself by 45 HP",爱护自己，就要懂得医疗。一次能回复45HP。,愛護自己，就要懂得醫療。一次能回復45HP。,
item hint/key2,Text,,A mysterious key,一把神秘的钥匙。,一把神秘的鑰匙。,
item hint/keya3,Text,,An metal key,一把铁钥匙。,一把鐵鑰匙。,
item hint/key b02,Text,,Key for library gate,图书馆大门钥匙。,圖書館大門鑰匙。,
item hint/key b03,Text,,A key,一把钥匙。,一把鑰匙。,
item hint/key blood,Text,,A key with blood on,一把染血的钥匙。,一把染血的鑰匙。,
item hint/mask,Text,,A gas mask,一个防毒面具。,一個防毒面具。,
item hint/gas suit,Text,,"Anti-gas suit, the necessary in a trip",防毒套装，附带氧气筒设计，是居家旅行必备良品。,防毒套裝，附帶氧氣筒設計，是居家旅行必備良品。,
item hint/ox tank,Text,,An oxygen tank,一个氧气筒。,一個氧氣筒。,
item hint/paper a,Text,,Half of paper,只有半张的小纸片，上面貌似写了些什么。,只有半張的小紙片，上面貌似寫了些什麼。,
item hint/paste,Text,,"Love yourself, help yourself by 10 HP",爱护自己，就要懂得医疗。一次能回复10HP。,愛護自己，就要懂得醫療。一次能回復10HP。,
item hint/gun,Text,,"Beretta 92FS gun, easy to use",伯莱塔92FS半自动手枪，结构简单，精确耐用。,伯萊塔92FS半自動手槍，結構簡單，精確耐用。,
item hint/ammo,Text,,Ammo for pistol,9×19mm鲁格弹，现在广泛被使用的手枪子弹。,9×19mm魯格彈，現在廣泛被使用的手槍子彈。,
item hint/shit,Text,,Carrying this make you much stronger than before,支配者的祝福，带在身上你会变得比平时强力3倍！,支配者的祝福，帶在身上你會變得比平時強力3倍！,
item hint/shortgun,Text,,A powerful shotgun,约翰·勃朗宁设计的经典杠杆式霰弹枪，近距离威力大。,約翰·勃朗寧設計的經典杠杆式霰彈槍，近距離威力大。,
item hint/shotgun ammo,Text,,Ammo for shotgun,12号霰弹枪子弹，省着用哦。,12號霰彈槍子彈，省著用哦。,
item hint/shrink gun,Text,,Keys-shrinking gun,全称钥匙缩小枪，能把钥匙缩小。,全稱鑰匙縮小槍，能把鑰匙縮小。,
item hint/stan,Text,,Lovely signature,字很漂亮。,字很漂亮。,
a00/a0,Text,," Kio
【Hello guys. I am Kio!】"," Kio
【大家好，我是Kio ！】"," Kio
【大家好，我是Kio ！】",
a00/a1,Text,," Kio
【I am 16 years old. And I will study in the high school this year.】"," Kio
【今年15岁，刚刚升上高中。】"," Kio
【今年15歲，剛剛升上高中。】",
a00/a2,Text,," Kio
【Green tea ice cream is my love.】"," Kio
【我最喜欢吃的是抹茶雪糕。】"," Kio
【我最喜歡吃的是抹茶雪糕。】",
a00/a3,Text,," Kio
【But I hate bitter cucumber.】"," Kio
【最讨厌的是苦瓜。】"," Kio
【最討厭的是苦瓜。】",
a00/a4,Text,," Kio
【Because it's bitter.】"," Kio
【因为很苦。】"," Kio
【因為很苦。】",
a00/a5,Text,," Kio
【I am going to hang out with my two friends today.】"," Kio
【今天约了两个初中的好朋友出来吃饭。】"," Kio
【今天約了兩個初中的好朋友出來吃飯。】",
a00/a6,Text,," Kio
【It's good news that we will start our new lives in the same school.】"," Kio
【因为我们都考上同一所高中了。】"," Kio
【因為我們都考上同一所高中了。】",
a00/a7,Text,," Kio
【A happy beginning.】"," Kio
【真的很开心。】"," Kio
【真的很開心。】",
a00/a8,Text,," Kio
【Oh, it's time to move!】"," Kio
【不说了，我要出门了！】"," Kio
【不說了，我要出門了！】",
a00/b0,Text,," Kio
【It's hot outside.】"," Kio
【呼，外面好热啊。】"," Kio
【呼，外面好熱啊。】",
a00/b2,Text,," Kio
【Otherwise it burns me.】"," Kio
【要不然热死了。】"," Kio
【要不然熱死了。】",
a00/b1,Text,," Kio
【Lukily there is air conditioned inside the Mcdondon.】"," Kio
【幸好麦当当里面有空调。】"," Kio
【幸好麥當當裡面有空調。】",
a00/c0,Text,," Kio
【Well, where are my friends?】"," Kio
【不知道她们两个到了没有。】"," Kio
【不知道她們兩個到了沒有。】",
a00/c1,Text,," Domini
【Kio! We are here!】"," 多明妮
【Kio！在这里！】"," 多明妮
【Kio！在這裡！】",
a00/c2,Text,," Kio
【Oh, coming.】"," Kio
【啊，你们原来已经到了！】"," Kio
【啊，你們原來已經到了！】",
a00/d0,Text,," Domini
【Yes, we've got here for long.】"," 多明妮
【对啊，我们到了很久啦！】"," 多明妮
【對啊，我們到了很久啦！】",
a00/d1,Text,," Domini
【About one hour ago.】"," 多明妮
【等了你一个多小时了。】"," 多明妮
【等了你一個多小時了。】",
a00/d3,Text,," Illusion
【She is joking. We just arrive.】"," Illusion
【她开玩笑的，我们也是刚到而已。】"," Illusion
【她開玩笑的，我們也是剛到而已。】",
a00/d4,Text,," Domini
【You...expose me....】"," 多明妮
【你你你，干嘛揭穿我！】"," 多明妮
【你你你，幹嘛揭穿我！】",
a00/d2,Text,," Domini
【We are about to leave!】"," 多明妮
【我们都准备要走了！】"," 多明妮
【我們都準備要走了！】",
a00/d5,Text,," Domini
【Isn't it funny?】"," 多明妮
【开个玩笑嘛。】"," 多明妮
【開個玩笑嘛。】",
a00/d6,Text,," Kio
【I already know you were not telling the truth!】"," Kio
【我才不信你两这么早到呢！】"," Kio
【我才不信你兩這麼早到呢！】",
a00/d7,Text,," Kio
【Eh!?】"," Kio
【咦！？】"," Kio
【咦！？】",
a00/d8,Text,," Kio
【You've already ordered your foods before I come here.】"," Kio
【你们怎么都已经点餐了啊。】"," Kio
【你們怎麼都已經點餐了啊。】",
a00/d9,Text,," Illusion
【Sorry for that......】"," Illusion
【因为。。。。。。】"," Illusion
【因為。。。。。。】",
a00/d10,Text,," Illusion
【We feel a bit hungry.】"," Illusion
【因为有点饿了，不好意思。】"," Illusion
【因為有點餓了，不好意思。】",
a00/d11,Text,," Domini
【Kio, go ahead to order yours.】"," 多明妮
【Kio你快点去点餐吧。】"," 多明妮
【Kio你快點去點餐吧。】",
a00/d12,Text,," Kio
【No worries. I am OK, will make it later.】"," Kio
【没事啦，我还不饿，待会再去点。】"," Kio
【沒事啦，我還不餓，待會再去點。】",
a00/d13,Text,," Kio
【Well, I can't still  believe..】"," Kio
【对了，多明妮，还有Illusion。想不到我们。。】"," Kio
【對了，多明妮，還有Illusion。想不到我們。。】",
a00/d14,Text,," Kio
【We will study at the same high school!】"," Kio
【能考上同一所高中！】"," Kio
【能考上同一所高中！】",
a00/d15,Text,," Kio
【That's awesome!!】"," Kio
【真是太好了！！】"," Kio
【真是太好了！！】",
a00/d16,Text,," Domini
【Yes. We will start our school lives together in the next three years!】"," 多明妮
【对啊！对啊！高中三年我们又能在一起了！】"," 多明妮
【對啊！對啊！高中三年我們又能在一起了！】",
a00/d17,Text,," Illusion
【Cool. It's great to be with you two.】"," Illusion
【是呢，能跟你们一起我也很开心。】"," Illusion
【是呢，能跟你們一起我也很開心。】",
a00/d18,Text,," Domini
【Hey, have you heard that there would be some handsome guys in our class?】"," 多明妮
【嘿嘿嘿！Kio你知道吗！听说我们班有几个超级大帅哥！】"," 多明妮
【嘿嘿嘿！Kio你知道嗎！聽說我們班有幾個超級大帥哥！】",
a00/d19,Text,," Kio
【Really?】"," Kio
【真的吗！？】"," Kio
【真的嗎！？】",
a00/d20,Text,," Domini
【Certainly! They are like hot stars!】"," 多明妮
【对啊！听说帅到像明星一样呢！！】"," 多明妮
【對啊！聽說帥到像明星一樣呢！！】",
a00/d21,Text,," Domini
【I look foward to date with all of them! Don't compete with me!】"," 多明妮
【所以开学之后，我看中的你们不要跟我抢哦！】"," 多明妮
【所以開學之後，我看中的你們不要跟我搶哦！】",
a00/d22,Text,," Kio
【If I was a handsome boy..】"," Kio
【这么帅的话。。】"," Kio
【這麼帥的話。。】",
a00/d23,Text,," Kio
【I will date with other girls.】"," Kio
【一定不会看上你呢。】"," Kio
【一定不會看上你呢。】",
a00/d24,Text,," Domini
【Hey!!!!!】"," 多明妮
【！！！！！】"," 多明妮
【！！！！！】",
a00/d25,Text,," Domini
【Who are the other girls? Like you!?】"," 多明妮
【不看上我！难道看上你哦！】"," 多明妮
【不看上我！難道看上你哦！】",
a00/d26,Text,," Illusion
【Stop it please.】"," Illusion
【你们两个不要吵啦。】"," Illusion
【你們兩個不要吵啦。】",
a00/d27,Text,," Domini
【Illusion! Are you going to compete with us at dating!?】"," 多明妮
【Illusion难道你也要跟我抢！】"," 多明妮
【Illusion難道你也要跟我搶！】",
a00/d28,Text,," Illusion
【No. I will focus on  studying at the new school.】"," Illusion
【不是啦，高中我还是打算认真学习的。】 "," Illusion
【不是啦，高中我還是打算認真學習的。】",
a00/d29,Text,," Kio
【Too bored if I study too much.】"," Kio
【整天学习好无聊哦。】"," Kio
【整天學習好無聊哦。】",
a00/d30,Text,," Kio
【Well, I can copy your homeworks again!】"," Kio
【不过也好，之后我的作业靠你了！】"," Kio
【不過也好，之後我的作業靠你了！】",
a00/d31,Text,," Domini
【Cool, count on me!!】"," 多明妮
【我的作业也靠你了！！】"," 多明妮
【我的作業也靠你了！！】",
a00/d32,Text,," Illusion
【It can't be like this....】"," Illusion
【你们不要这样。。。。。。】"," Illusion
【你們不要這樣。。。。。。】",
a00/d33,Text,," Kio
【Ha ha, I am going to order my food. Please wait.】"," Kio
【哈哈，我去点餐了，你们等等吧。】"," Kio
【哈哈，我去點餐了，你們等等吧。】",
a00/e0,Text,," Seller
【How are you!】"," 服务员
【你好，欢迎光临。】"," 服務員
【你好，歡迎光臨。】",
a00/e1,Text,," Seller
【What can I do for you?】"," 服务员
【请问需要点什么吗？】"," 服務員
【請問需要點什麼嗎？】",
a00/e2,Text,," Kio
【Hello! A beef buger. A coke.】"," Kio
【一个牛肉汉堡，一杯中可乐。】"," Kio
【一個牛肉漢堡，一杯中可樂。】",
a00/e3,Text,," Kio
【And a potato chips please.】"," Kio
【再来一份薯条吧。】"," Kio
【再來一份薯條吧。】",
a00/e4,Text,," Seller
【OK. A few seconds.】"," 服务员
【好的，请稍等。】"," 服務員
【好的，請稍等。】",
a00/e5,Text,," Kio
【!?!?!?】"," Kio
【！？！？！？】"," Kio
【！？！？！？】",
a00/e6,Text,," Domini
【Ahhhhhh!!!!】"," 多明妮
【啊啊啊啊啊啊啊啊！！！】"," 多明妮
【啊啊啊啊啊啊啊啊！！！】",
a00/e7,Text,," Illusion
【Earthquake!! Run!!】"," Illusion
【地震了！！快逃出去外面啊！！】"," Illusion
【地震了！！快逃出去外面啊！！】",
a00/e8,Text,," Kio
【Ahhhhhh!!!】"," Kio
【啊啊啊啊啊啊！】"," Kio
【啊啊啊啊啊啊！】",
a01/a0,Text,," Kio
【..........】"," Kio
【。。。。。。】"," Kio
【。。。。。。】",
a01/a1,Text,," Kio
【Um..?】"," Kio
【嗯。。。。。？】"," Kio
【嗯。。。。。？】",
a01/a3,Text,," Kio
【How long have I got unconscious....?】"," Kio
【我昏迷了多久了。。。】"," Kio
【我昏迷了多久了。。。】",
a01/a4,Text,," Kio
【How long...?】"," Kio
【我在这里睡了多久了？】"," Kio
【我在這裡睡了多久了？】",
a01/a2,Text,," Kio
【Horrible headache....】"," Kio
【头好痛。。。。】"," Kio
【頭好痛。。。。】",
a01/a5,Text,," Kio
【I remember that was an earthquake....】"," Kio
【地震之后好像晕过去了。】"," Kio
【地震之後好像暈過去了。】",
a01/a6,Text,," Kio
【Where am I?】"," Kio
【这里是什么地方？】"," Kio
【這裡是什麼地方？】",
a01/a7,Text,," Kio
【Domini!!!】"," Kio
【多明妮！！！！！】"," Kio
【多明妮！！！！！】",
a01/a8,Text,," Kio
【Illusion!!!!!】"," Kio
【Illusion！！！！！！】"," Kio
【Illusion！！！！！！】",
a01/a9,Text,," Kio
【Where are you?】"," Kio
【你们在哪？！？！】"," Kio
【你們在哪？！？！】",
a01/a10,Text,," Kio
【Oh, I can use my cell phone!】"," Kio
【用手机联络一下她们吧。】"," Kio
【用手機聯絡一下她們吧。】",
a01/a11,Text,," Kio
【........】"," Kio
【。。。。。。】"," Kio
【。。。。。。】",
a01/a12,Text,," Kio
【It can't receive any signal....】"," Kio
【完全没有信号。。。。】"," Kio
【完全沒有信號。。。。】",
a01/a13,Text,," Kio
【How weird is it!?】"," Kio
【不过这里怎么这么诡异？】"," Kio
【不過這裡怎麼這麼詭異？】",
a01/a14,Text,," Kio
【Anyhow, I have to get out of here at first.】"," Kio
【先离开这里再说吧。】"," Kio
【先離開這裡再說吧。】",
a01/a dial phone,Text,,Dial the cell phone,尝试拨打了手机,嘗試撥打了手機,
menus/door is lock,Text,,Door is locked,门是锁着的,門是鎖著的,
a01/p0,Text,,"Find a button, Press it?",画框下有个按钮，要按一下？,畫框下有個按鈕，要按一下？,
a01/p2,Text,,A weird painting,一幅诡异的画,一幅詭異的畫,
a01/p3,Text,,Voice comes from door,门开了的声音,門開了的聲音,
a03/a0,Text,," Kio
【Um!? Who locked the door!?】"," Kio
【咦！？怎。。。。。。怎么门锁上了！？】"," Kio
【咦！？怎。。。。。。怎麼門鎖上了！？】",
a03/a2,Text,," Kio
【It seems like be locked from another side!?】"," Kio
【似乎感觉从外边被锁上了！？】"," Kio
【似乎感覺從外邊被鎖上了！？】",
a03/a3,Text,," Kio
【.......】"," Kio
【。。。。。。】"," Kio
【。。。。。。】",
a03/a4,Text,," Kio
【What actually happened....】"," Kio
【到底怎么回事了。。。。。。】"," Kio
【到底怎麼回事了。。。。。。】",
a03/a5,Text,," Kio
【It sounds like something is switch on?】"," Kio
【好像有什么东西启动的声音？】"," Kio
【好像有什麼東西啟動的聲音？】",
a03/wall,Text,," Kio
【Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah!】"," Kio
【啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！】"," Kio
【啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！】",
menus/to open door?,Text,,Try this key to open the door?,要使用钥匙开门吗？,要使用鑰匙開門嗎？,
menus/door opened,Text,,Door is opened,门开了,門開了,
a04/a0,Text,," Illusion
【Kio....】"," Illusion
【Kio。。。】"," Illusion
【Kio。。。】",
a04/a1,Text,," Kio
【Ah!! What happened to you!!?】"," Kio
【啊！！你怎么了！！！】"," Kio
【啊！！你怎麼了！！！】",
a04/a2,Text,," Illusion
【Take my head. It can help you out of here.】"," Illusion
【Kio你取走我的头吧，这样你才能出去。】"," Illusion
【Kio你取走我的頭吧，這樣你才能出去。】",
a04/a3,Text,," Kio
【What? What do you mean?】"," Kio
【什。。。什么意思！？】"," Kio
【什。。。什麼意思！？】",
a04/a4,Text,," Kio
【Ah ah ah ah ah ah ah!!!】"," Kio
【啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！】 "," Kio
【啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！】",
a04/a5,Text,," Kio
【No!!!!!!!!!】"," Kio
【不！！！！！！！！！！！！！】"," Kio
【不！！！！！！！！！！！！！】",
a04/a6,Text,," Kio
【What's going on!!!!!!】"," Kio
【发生什么事情了！！！】"," Kio
【發生什麼事情了！！！】",
a04/a7,Text,," Kio
【It shouldn't be!! It shouldn't be real!!】"," Kio
【我不信，我不信，这不是真的！】"," Kio
【我不信，我不信，這不是真的！】",
a04/a8,Text,," Kio
【Everything is fine just a moment ago!!】"," Kio
【刚刚明明还是好好的！！】"," Kio
【剛剛明明還是好好的！！】",
a04/a9,Text,," Kio
【!!!!!】"," Kio
【。。。。。】"," Kio
【。。。。。】",
a04/a10,Text,," Kio
【It should be a nightmare...】"," Kio
【这一定是在做梦。。。】"," Kio
【這一定是在做夢。。。】",
a04/a11,Text,," Kio
【Wake me up... Please...】"," Kio
【我要怎样才能醒来呢。。。】"," Kio
【我要怎樣才能醒來呢。。。】",
a04/b0,Text,,Pick Illusion's head?,Illusion的头，是否拾取？,Illusion的頭，是否拾取？,
a04/b1,Text,," Kio
【It's cruel!】"," Kio
【好残忍！】"," Kio
【好殘忍！】",
a04/b2,Text,," Kio
【Where am I!?】"," Kio
【这里到底是什么地方！？】"," Kio
【這裡到底是什麼地方！？】",
a04/b3,Text,,Get Illusion's head,拾取了Illusion的头,拾取了Illusion的頭,
a05/a0,Text,," Girl
【Take my heart.】"," 少女
【把我的心脏取走吧。】"," 少女
【把我的心臟取走吧。】",
a05/a2,Text,," Girl
【It's helpful to you.】"," 少女
【对你有帮助的。】"," 少女
【對你有幫助的。】",
a05/a3,Text,," Kio
【Ah!?】"," Kio
【啊！？！？】"," Kio
【啊！？！？】",
a05/a4,Text,," Kio
【It's....】"," Kio
【太。。。。】"," Kio
【太。。。。】",
a05/a5,Text,," Kio
【Horrible....】"," Kio
【太残忍了。。。。】"," Kio
【太殘忍了。。。。】",
a05/b0,Text,,Pick the girl's heart?,少女的心脏，是否拾取？,少女的心臟，是否拾取？,
a05/b1,Text,,Get a heart,拾取了少女的心脏,拾取了少女的心臟,
a06/a0,Text,," Kio
【Ahhhhh!!!】"," Kio
【啊啊啊啊啊啊！！！】"," Kio
【啊啊啊啊啊啊！！！】",
a06/a2,Text,," Kio
【disgusting...!!】"," Kio
【好。。。。。好恶心！！】"," Kio
【好。。。。。好噁心！！】",
a06/a3,Text,," Kio
【Where is it!?】"," Kio
【这里到底是什么地方啊。】"," Kio
【這裡到底是什麼地方啊。】",
a06/a4,Text,," Kio
【Why am I here!?】"," Kio
【为什么我会在这里！】"," Kio
【為什麼我會在這裡！】",
a06/a5,Text,," Kio
【Help me!】"," Kio
【呜呜呜呜呜呜！！】 "," Kio
【嗚嗚嗚嗚嗚嗚！！】",
a06/b0,Text,," Kio
【I feel sick..】"," Kio
【好可怕。】"," Kio
【好可怕。】",
a07/a0,Text,,Turn the switcher on?,是否按下开关？,是否按下開關？,
a07/a1,Text,," Kio
【Eh!?!?】"," Kio
【咦！？！？】 "," Kio
【咦！？！？】",
a07/a2,Text,," Kio
【Gas!?】"," Kio
【毒气！？！？】"," Kio
【毒氣！？！？】",
a07/b0,Text,," Kio
【It locks!!!】"," Kio
【门被锁上了打不开！！】"," Kio
【門被鎖上了打不開！！】",
a07/c0,Text,," Kio
【Ahhh!! Somebody helps me!】"," Kio
【啊啊啊啊，快来人救我！】"," Kio
【啊啊啊啊，快來人救我！】",
a07/c2,Text,," Kio
【Terrible...I am going to die!!】"," Kio
【好难受，我是不是要死了？！】"," Kio
【好難受，我是不是要死了？！】",
